,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Wed Jun 27 20:01:05 +0000 2018,"A raw and unfiltered insight into the bloodiest conflict since the Second World War.

Storyville: This is Congo | 1… https://t.co/8biUiR6fAI",-0.7351,0.0,0.267,0.733,100
1,BBC,Wed Jun 27 19:02:01 +0000 2018,"😂  @Cher's ""criminal"" past is 😳...
#TheGNShow https://t.co/O3bSFbOaO9",0.4404,0.242,0.121,0.637,99
2,BBC,Wed Jun 27 18:00:25 +0000 2018,🎧 Can you believe DJ Switch only started DJ-ing a year ago? https://t.co/b5CY3vEX7Q,0.0,0.0,0.0,1.0,98
3,BBC,Wed Jun 27 16:04:05 +0000 2018,Something deadly lies beneath the ice in Iceland... https://t.co/IqWwmtfTkk,-0.4215,0.0,0.259,0.741,97
4,BBC,Wed Jun 27 15:09:27 +0000 2018,"🕺 *Knight Fever* 

Bee Gee Sir Barry Gibb paid tribute to his late brothers as he collected his knighthood on Tuesd… https://t.co/LLIHYKRfhR",0.0,0.0,0.0,1.0,96
5,BBC,Wed Jun 27 14:42:13 +0000 2018,RT @bbccomedy: Some writing advice from an expert... #NationalWritingDay @RealMattLucas @davidwalliams https://t.co/lz2MQzpvKY,0.0,0.0,0.0,1.0,95
6,BBC,Wed Jun 27 13:05:07 +0000 2018,"French butchers have written to the government asking for protection against militant vegans.
👉… https://t.co/6pgMQ46tUR",0.0,0.0,0.0,1.0,94
7,BBC,Wed Jun 27 11:52:00 +0000 2018,☕️ How a simple change is cutting coffee cup waste https://t.co/kkbcSZvFn3,-0.5106,0.0,0.35,0.65,93
8,BBC,Wed Jun 27 11:39:52 +0000 2018,"RT @BBCBreakfast: Dear Summer, ☀️
We're enjoying this lovely weather. Can you stay?
Lots of love - The entire UK x
#heatwave https://t.co/g…",0.9403,0.464,0.0,0.536,92
9,BBC,Wed Jun 27 11:03:04 +0000 2018,"🦔🧙 Did you know people used to think hedgehogs were witches?

Here are nine things you might not know about the hum… https://t.co/Wj7a5idS4m",0.0,0.0,0.0,1.0,91
10,BBC,Wed Jun 27 09:30:20 +0000 2018,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/qVNcgsGM8C",0.0,0.0,0.0,1.0,90
11,BBC,Wed Jun 27 08:47:40 +0000 2018,RT @BBCArchive: Computer geeks - this is your lucky day! You can now watch all 146 original programmes and run 161 programs from the 1980s…,0.6114,0.194,0.05,0.756,89
12,BBC,Wed Jun 27 08:01:05 +0000 2018,👟 @MumsnetTowers founder @Justine_Roberts on why you should always wear trainers to work. https://t.co/FgTPRo5Agm,0.0,0.0,0.0,1.0,88
13,BBC,Wed Jun 27 07:29:04 +0000 2018,"😴 The colour cyan - between green and blue - is a hidden factor in encouraging or preventing sleep, according to bi… https://t.co/HogBXzm2Y5",0.5106,0.145,0.047,0.809,87
14,BBC,Wed Jun 27 07:01:05 +0000 2018,Inside the community where people with learning disabilities and the people who care for them live and work togethe… https://t.co/LurfYqtc84,0.4939,0.144,0.0,0.856,86
